通知人,标题,日期,链接
教材中心,关于做好2025-2026学年第一学期教材选用与征订工作的通知,"
2025-05-16
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14061
教学运行,关于2024-2025学年第二学期《中国近现代史纲要》课程期末考试安排的通知,"
2025-05-15
         ",../info/1036/14060.htm
实践科,关于组织申报2025年本科生开放探索性实验项目（课程）的通知,"
2025-05-15
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14059
实践科,关于开展2023年本科生开放探索性实验项目（课程）结题验收工作的通知,"
2025-05-15
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14058
教学运行,关于2024-2025学年第二学期2023级、2024级体育理论教室安排的通知,"
2025-05-14
         ",../info/1036/14055.htm
质量办,关于举办福州大学第六十九期“教学有道”研讨活动的通知,"
2025-05-14
         ",../info/1040/14054.htm
教学运行,关于2024-2025学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,"
2025-05-12
         ",../info/1036/14053.htm
教学运行,关于2024-2025学年第二学期计算机语言类课程期末考试安排的通知,"
2025-05-12
         ",../info/1036/14052.htm
教学运行,关于2024-2025学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,"
2025-05-12
         ",../info/1036/14051.htm
实践科,关于做好2023年、2024年本科生科研训练计划项目结题工作的通知,"
2025-05-12
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14050
计划科,关于组织申报2025-2026学年第一学期通识教育选修课的通知,"
2025-05-12
         ",../info/1038/14048.htm
实践科,关于公布第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛获奖名单的通知,"
2025-05-09
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14045
质量办,关于开展2025年度教师本科教学综合测评工作的通知,"
2025-05-09
         ",../info/1040/14044.htm
教学通知,关于开展2025年度教师本科教学综合测评工作的通知,"
2025-05-09
         ",../info/1012/14043.htm
教研教改,福州大学关于公布2023级数理综合班 专业分流学生名单及学科导师名单的通知,"
2025-05-09
         ",../info/1037/14042.htm
计划科,2024-2025学年第二学期在校学生申请辅修专业的通知,"
2025-05-06
         ",../info/1038/14038.htm
质量办,关于举办福州大学第六十八场“教学有道”暨第二期智慧教学课程平台与AI智慧教学工具培训的通知,"
2025-05-06
         ",../info/1040/14037.htm
实践科,关于举办2025年福州大学第二十五届数学竞赛暨第十七届全国大学生数学竞赛福建赛区选拔赛的通知,"
2025-04-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14034
实践科,关于公布2025年（总第三十一期）本科生科研训练计划立项项目的通知,"
2025-04-30
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14033
质量办,关于期中党政领导集中听课的通知,"
2025-04-27
         ",../info/1040/14032.htm
实践科,福州大学关于公布第二十二届程序设计竞赛获奖名单的通知,"
2025-04-24
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14020
实践科,关于开展2025届本科毕业设计（论文）抽检送审工作的通知,"
2025-04-24
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14018
质量办,关于福州大学第六十八场“教学有道”研讨活动延期举行的通知,"
2025-04-24
         ",../info/1040/14017.htm
教学运行,关于2025年劳动节放假课程调整的通知,"
2025-04-24
         ",../info/1036/14016.htm
教学运行,关于2024-2025学年第二学期《工程制图E》课程期末考试安排的通知,"
2025-04-23
         ",../info/1036/14012.htm
