通知人,标题,日期,链接
质量办,关于举办福州大学第四十七场“教学有道”研讨活动暨2023年教师教学创新大赛培训会的通知,"
2023-10-19
         ",../info/1040/13041.htm
教学运行,关于2023-2024学年第一学期《高等数学A（下）》课程半期考试安排的通知,"
2023-10-17
         ",../info/1036/13039.htm
教学运行,关于2023-2024学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,"
2023-10-16
         ",../info/1036/13038.htm
实践科,关于2023年高校教学基本状态数据库教学相关数据报送的通知,"
2023-10-16
         ",../info/1039/13035.htm
教学运行,关于做好2024届预计毕业生电子注册图像采集工作的通知,"
2023-10-16
         ",../info/1036/13034.htm
教学运行,关于组织2023级新生开展学籍信息自查工作的通知,"
2023-10-09
         ",../info/1036/13029.htm
质量办,关于开展福州大学2023年教师教学创新大赛的通知,"
2023-10-08
         ",../info/1040/13028.htm
教学运行,关于2023-2024学年第一学期《概率与数理统计》课程半期考试安排的通知,"
2023-10-08
         ",../info/1036/13027.htm
教学运行,关于2023年中秋节、国庆节放假课程调整的通知,"
2023-09-25
         ",../info/1036/13017.htm
教学运行,2023-2024-01学期2023级体育理论教室安排表,"
2023-09-20
         ",../info/1036/13014.htm
教学运行,关于做好2023-2024学年第二学期排课准备工作的通知,"
2023-09-20
         ",../info/1036/13013.htm
实践科,关于公布第十二届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,"
2023-09-19
         ",../info/1039/13011.htm
计划科,关于2023-2024学年第一学期爱课程平台参加通识教育选修课学习的重要提示,"
2023-09-18
         ",../info/1038/13001.htm
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示 ,"
2023-09-18
         ",../info/1038/13000.htm
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,"
2023-09-15
         ",../info/1039/12999.htm
实践科,关于公布第二十七、二十八期本科生科研训练计划项目结题成绩的通知,"
2023-09-15
         ",../info/1039/12998.htm
质量办,关于举办福州大学第四十六场“教学有道”研讨活动的通知,"
2023-09-14
         ",../info/1040/12997.htm
教研教改,福州大学关于公布2023级 “嘉锡化学拔尖班”学生名单的通知,"
2023-09-14
         ",../info/1037/12996.htm
教研教改,福州大学关于公布2023级“数理综合班”学生名单的通知,"
2023-09-14
         ",../info/1037/12995.htm
教研教改,福州大学关于公布2023级“数理金融实验班”学生名单的通知,"
2023-09-14
         ",../info/1037/12994.htm
教学运行,关于2023-2024学年第一学期重新学习选课、缴费的通知,"
2023-09-11
         ",../info/1036/12983.htm
教学运行,关于做好2023年参军退役学生转专业的通知,"
2023-09-08
         ",../info/1036/12981.htm
教学运行,关于9月7日开展线上教学的紧急通知,"
2023-09-06
         ",../info/1036/12977.htm
教学运行,关于受第11号台风“海葵”影响课程调整的通知,"
2023-09-06
         ",../info/1036/12973.htm
计划科,关于公布2023-2024学年第一学期通选课取消开课名单的通知,"
2023-09-05
         ",../info/1038/12962.htm
综合科,关于召开2023-2024学年秋季学期期初本科教育教学工作会议的通知,"
2023-09-01
         ",../info/1035/12955.htm
教研教改,关于公布参加2023级“数理综合班”选拔面试学生名单的通知,"
2023-08-30
         ",../info/1037/12953.htm
教研教改,关于公布参加2023级“嘉锡化学拔尖班”选拔面试学生名单的通知,"
2023-08-30
         ",../info/1037/12952.htm
计划科,关于2023级学生选修《大学信息技术基础》的通知,"
2023-08-30
         ",../info/1038/12951.htm
教研教改,关于公布参加2023级“数理金融实验班”选拔面试学生名单的通知,"
2023-08-29
         ",../info/1037/12942.htm
实践科,关于做好2022-2023学年度本科毕业论文（设计）抽检工作的通知,"
2023-08-29
         ",../info/1039/12939.htm
综合科,关于2023-2024学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,"
2023-08-27
         ",../info/1035/12937.htm
教学运行,关于2023-2024第一学期辅修专业补退选、缴费的通知,"
2023-08-27
         ",../info/1036/12936.htm
质量办,关于开学第一周集中听课的通知,"
2023-08-27
         ",../info/1040/12935.htm
综合科,关于2023级福州大学本科生学生证信息采集的通知,"
2023-08-27
         ",../info/1035/12934.htm
教学运行,关于2023-2024第一学期学期选课补退选的通知,"
2023-08-26
         ",../info/1036/12933.htm
计划科,关于2023-2024学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,"
2023-08-26
         ",../info/1038/12932.htm
计划科,关于2023-2024学年第一学期通识教育选修课选课的通知,"
2023-08-26
         ",../info/1038/12931.htm
教研教改,福州大学关于开展2023级“嘉锡化学拔尖班”招生工作的通知,"
2023-08-26
         ",../info/1037/12929.htm
教研教改,福州大学关于开展2023级“数理综合班”招生工作的通知,"
2023-08-26
         ",../info/1037/12927.htm
教研教改,福州大学关于开展2023级“数理金融实验班”招生工作的通知,"
2023-08-26
         ",../info/1037/12926.htm
实践科,福州大学关于公布2023年本科生开放探索性实验项目（课程）评选结果的通知,"
2023-08-23
         ",../info/1039/12923.htm
综合科,关于开展智慧教室使用培训工作的通知,"
2023-08-21
         ",../info/1035/12913.htm
实践科,关于转发《关于举办第十三届海峡两岸信息服务创新大赛暨福建省第十七届计算机软件设计大赛的通知》的通知,"
2023-08-21
         ",../info/1039/12912.htm
实践科,关于开展大学生校外实践教学基地检查评估的通知,"
2023-08-14
         ",../info/1039/12903.htm
质量办,关于举办福州大学第四十五场“教学有道”研讨活动的通知,"
2023-08-04
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1040&wbnewsid=12893
综合科,关于本科教学管理系统及其相关业务系统暂停使用的通知,"
2023-08-02
         ",../info/1035/12892.htm
综合科,教务处关于2023年暑假用印安排的通知,"
2023-07-08
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=12884
实践科,关于公布福州大学2023届本科生优秀毕业设计（论文）名单的通知,"
2023-07-05
         ",../info/1039/12881.htm
综合科,关于召开2022-2023学年春季学期期末本科教育教学工作会议的通知,"
2023-07-03
         ",../info/1035/12874.htm
教学运行,关于做好期末复习考试及下学期开学等工作的通知,"
2023-06-30
         ",../info/1036/12870.htm
质量办,关于举办福州大学第四十四场“教学有道”研讨活动的通知,"
2023-06-30
         ",../info/1040/12868.htm
实践科,关于参加“2023高教社杯全国大学生数学建模竞赛”报名与集训的通知,"
2023-06-29
         ",../info/1039/12867.htm
质量办,关于开展2023年度教师本科教学综合测评工作的通知,"
2023-06-28
         ",../info/1040/12864.htm
计划科,关于核对2023-2024学年第一学期通识教育选修课开课信息的有关通知,"
2023-06-27
         ",../info/1038/12863.htm
实践科,关于公布2023年国家级、省级大学生创新创业训练计划推荐立项项目的通知,"
2023-06-26
         ",../info/1039/12862.htm
教学运行,关于2022-2023学年第二学期大学英语拓展课程期末考试安排的通知,"
2023-06-21
         ",../info/1036/12850.htm
教学运行,关于2022-2023学年第二学期《大学物理A（上）、B（上）、C》课程期末考试安排的通知,"
2023-06-21
         ",../info/1036/12848.htm
实践科,关于举办2023年福州大学大学生工程实践与创新能力大赛暨2023年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,"
2023-06-20
         ",../info/1039/12847.htm
实践科,关于公布第十四届企业经营模拟沙盘对抗赛获奖名单的通知,"
2023-06-20
         ",../info/1039/12846.htm
实践科,关于公布2023年大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛获奖名单的通知,"
2023-06-20
         ",../info/1039/12845.htm
实践科,关于公布第二十届程序设计竞赛获奖名单的通知,"
2023-06-20
         ",../info/1039/12844.htm
实践科,关于公布2023年第二十三届数学竞赛获奖名单的通知,"
2023-06-20
         ",../info/1039/12843.htm
教学运行,关于2023年端午节放假课程调整的通知,"
2023-06-19
         ",../info/1036/12842.htm
教学运行,关于2023-2024学年第一学期本科生学期选课的通知,"
2023-06-19
         ",../info/1036/12841.htm
质量办,关于举办福州大学第四十三场“教学有道”研讨活动的通知,"
2023-06-15
         ",../info/1040/12835.htm
教研教改,福州大学关于开展2023年省级一流本科课程申报推荐工作的通知,"
2023-06-14
         ",../info/1037/12832.htm
教研教改,福州大学关于公布2021级数理金融实验班学生主辅修专业及导师名单的通知,"
2023-06-13
         ",../info/1037/12830.htm
计划科,关于公布2023-2024学年第一学期修读辅修专业学生名单的通知,"
2023-06-12
         ",../info/1038/12829.htm
教学运行,关于2022-2023学年第二学期《大学英语（二）、（三）、（四）》课程期末考试安排的通知,"
2023-06-09
         ",../info/1036/12828.htm
教学运行,关于2022-2023学年第二学期《工程制图A（下）、C（下）、D、F》课程期末考试安排的通知,"
2023-06-09
         ",../info/1036/12827.htm
综合科,关于转发12306手机客户端提供学生优惠资质在线核验服务的通知,"
2023-06-07
         ",../info/1035/12821.htm
计划科,关于2023-2024学年第一学期修读辅修专业学生名单的公示,"
2023-06-05
         ",../info/1038/12808.htm
教学运行,关于2022-2023学年第二学期《概率论与数理统计》课程期末考试安排的通知,"
2023-06-01
         ",../info/1036/12807.htm
实践科,关于公布第二十九期本科生科研训练计划立项项目的通知,"
2023-05-31
         ",../info/1039/12805.htm
实践科,关于公布2023年本科生创新创业实践与素质拓展学分认定结果的通知,"
2023-05-30
         ",../info/1039/12804.htm
实践科,关于公布福州大学第九届桥梁设计大赛获奖名单的通知,"
2023-05-30
         ",../info/1039/12803.htm
实践科,关于公布福州大学第十三届大学生节能减排社会实践与科技竞赛暨第九届材料创新、设计及应用竞赛获奖名单的通知,"
2023-05-30
         ",../info/1039/12802.htm
实践科,关于公布福州大学第三届大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,"
2023-05-30
         ",../info/1039/12801.htm
教学运行,关于2022-2023学年第二学期《思想道德与法治》课程期末考试安排的通知,"
2023-05-26
         ",../info/1036/12798.htm
教学运行,关于2022-2023学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,"
2023-05-26
         ",../info/1036/12797.htm
教学运行,关于2022-2023学年第二学期《马克思主义基本原理》课程期末考试安排的通知,"
2023-05-26
         ",../info/1036/12796.htm
教学运行,关于2022-2023学年第二学期《高等数学A（中）、B（下）、C（下）》课程期末考试安排的通知,"
2023-05-26
         ",../info/1036/12794.htm
教学运行,关于2022-2023学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,"
2023-05-24
         ",../info/1036/12783.htm
教研教改,福州大学关于开展第七届远志创业实验班招生工作的通知,"
2023-05-22
         ",../info/1037/12779.htm
质量办,关于举办福州大学第四十二场“教学有道”研讨活动的通知,"
2023-05-22
         ",../info/1040/12778.htm
综合科,关于2022-2023学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,"
2023-05-22
         ",../info/1035/12776.htm
实践科,关于做好第二十七期、二十八期本科生科研训练计划项目结题工作的通知,"
2023-05-18
         ",../info/1039/12775.htm
实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,"
2023-05-18
         ",../info/1039/12774.htm
教材中心,关于做好2023-2024学年第一学期教材选用及征订工作的通知,"
2023-05-18
         ",../info/1042/12773.htm
教学运行,关于2022-2023学年第二学期《近现代史纲要》课程期末考试安排的通知,"
2023-05-17
         ",../info/1036/12771.htm
教研教改,福州大学关于公布2021级数理综合班专业分流学生名单及学科导师名单的通知,"
2023-05-17
         ",../info/1037/12770.htm
实践科,关于公布福州大学第七届网络信息安全竞赛获奖名单的通知,"
2023-05-17
         ",../info/1039/12769.htm
质量办,关于举办福州大学第四十一场“教学有道”研讨活动的通知,"
2023-05-16
         ",../info/1040/12768.htm
教学运行,关于2024届预计毕业生核对电子注册学历信息的通知,"
2023-05-16
         ",../info/1036/12765.htm
计划科,关于组织申报2023-2024学年第一学期通识教育选修课的通知,"
2023-05-15
         ",../info/1038/12762.htm
教学运行,关于2022-2023学年第二学期计算机语言类课程期末考试安排的通知,"
2023-05-12
         ",../info/1036/12761.htm
质量办,关于举办福州大学第四十场“教学有道”研讨活动的通知,"
2023-05-12
         ",../info/1040/12760.htm
质量办,关于开展2023届本科毕业生座谈会的通知,"
2023-05-12
         ",../info/1040/12759.htm
实践科,关于公布福州大学第九届“汇仟杯”测量大赛获奖名单的通知,"
2023-05-08
         ",../info/1039/12750.htm
计划科,2022-2023学年第二学期在校学生申请辅修专业的通知,"
2023-05-08
         ",../info/1038/12749.htm
教研教改,福州大学关于开展2022-2023学年本科教学优秀奖评选工作的通知,"
2023-05-05
         ",../info/1037/12747.htm
质量办,关于举办福州大学第三十九场“教学有道”研讨活动的通知,"
2023-05-05
         ",../info/1040/12746.htm
实践科,关于组织申报2023年本科生开放探索性实验项目（课程）的通知,"
2023-05-05
         ",../info/1039/12745.htm
实践科,关于开展2023届本科毕业设计（论文）抽检送审工作的通知,"
2023-04-26
         ",../info/1039/12723.htm
实践科,关于对2023届本科毕业设计（论文）进行查重检测的通知,"
2023-04-26
         ",../info/1039/12722.htm
实践科,关于试用本科毕业设计（论文）管理模块的通知,"
2023-04-26
         ",../info/1039/12721.htm
教学运行,关于2022-2023学年第二学期《工程制图E》课程期末考试安排的通知,"
2023-04-25
         ",../info/1036/12718.htm
教学运行,关于2023届预计毕业生补拍电子注册学历照片的通知,"
2023-04-24
         ",../info/1036/12716.htm
实践科,关于举办福州大学第十七届数学建模竞赛暨2023年全国大学生数学建模竞赛集训队选拔的通知,"
2023-04-20
         ",../info/1039/12714.htm
教学运行,关于2023年五一节放假课程调整的通知,"
2023-04-19
         ",../info/1036/12712.htm
教学运行,关于2022-2023学年第二学期《大学物理》课程半期考试安排的通知,"
2023-04-19
         ",../info/1036/12711.htm
实践科,关于举办2023年福州大学第二十三届数学竞赛暨第十五届全国大学生数学竞赛选拔赛的通知,"
2023-04-17
         ",../info/1039/12702.htm
实践科,关于举办福州大学第十三届大学生节能减排社会实践与科技竞赛暨第九届材料创新、设计及应用竞赛的通知,"
2023-04-15
         ",../info/1039/12701.htm
实践科,关于举办福州大学第二十届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,"
2023-04-14
         ",../info/1039/12695.htm
实践科,关于举办福州大学第七届网络信息安全竞赛的通知,"
2023-04-13
         ",../info/1039/12694.htm
实践科,关于组织开展第十六届中国大学生计算机设计大赛校内预选赛的通知,"
2023-04-07
         ",../info/1039/12673.htm
实践科,关于举办福州大学第三届大学生先进成图技术与产品信息建模创新大赛的通知,"
2023-04-07
         ",../info/1039/12672.htm
教学运行,关于2022-2023学年第二学期《高等数学》课程半期考试安排的通知,"
2023-04-07
         ",../info/1036/12671.htm
教学运行,关于2022-2023学年第二学期《线性代数》课程半期考试安排的通知,"
2023-04-06
         ",../info/1036/12667.htm
教学运行,关于2023年清明节放假课程调整的通知,"
2023-04-03
         ",../info/1036/12666.htm
实践科,关于举办福州大学第十四届企业经营模拟沙盘对抗赛的通知,"
2023-03-31
         ",../info/1039/12665.htm
实践科,关于开展2023年省级大学生学科专业竞赛项目申报工作的通知,"
2023-03-29
         ",../info/1039/12660.htm
质量办,关于正式启用福州大学课堂教学督导管理系统的通知,"
2023-03-27
         ",../info/1040/12657.htm
实践科,关于转发福建省教育厅《关于印发<福建省高校大学生学科专业竞赛管理办法（试行）>的通知》的通知,"
2023-03-27
         ",../info/1039/12656.htm
综合科,关于召开2022-2023学年春季学期期初本科教育教学工作会议的通知,"
2023-03-24
         ",../info/1035/12655.htm
教材中心,2023年第二届福建省高校教材联合巡展（福州大学）活动通知,"
2023-03-23
         ",../info/1042/12654.htm
教学运行,关于做好2023年3月参军退役复学学生转专业工作的通知,"
2023-03-22
         ",../info/1036/12650.htm
计划科,关于2022-2023学年第二学期爱课程平台参加通识教育选修课学习的重要提示,"
2023-03-21
         ",../info/1038/12649.htm
教学运行,关于做好2023-2024学年第一学期排课准备工作的通知,"
2023-03-21
         ",../info/1036/12648.htm
实践科,关于举办2023年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛的通知,"
2023-03-17
         ",../info/1039/12646.htm
质量办,关于上报2023年各学院本科教育教学质量保障工作计划的通知,"
2023-03-17
         ",../info/1040/12645.htm
综合科,教务处关于暂停对外办公的通知,"
2023-03-15
         ",../info/1035/12641.htm
实践科,关于举办福州大学第九届“汇仟杯”测量大赛的通知,"
2023-03-14
         ",../info/1039/12633.htm
实践科,关于举办福州大学第十二届大学生软件设计与服务外包创新创业竞赛的通知,"
2023-03-14
         ",../info/1039/12632.htm
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示 ,"
2023-03-13
         ",../info/1038/12631.htm
实践科,关于做好第二十九期本科生科研训练计划项目立项工作的通知,"
2023-03-10
         ",../info/1039/12622.htm
教学运行,关于2022-2023学年第二学期重新学习选课、缴费的通知,"
2023-03-07
         ",../info/1036/12619.htm
实践科,关于上报2023年各学院新时代劳动教育实施计划的通知,"
2023-03-03
         ",../info/1039/12614.htm
实践科,关于福州大学参加2023年第九届全国大学生统计建模大赛的通知,"
2023-03-03
         ",../info/1039/12613.htm
实践科,关于组织参加2023年美国大学生数学建模春季MCM/ICM赛的通知,"
2023-03-01
         ",../info/1039/12601.htm
计划科,关于公布2022-2023学年第二学期通选课取消开课名单的通知,"
2023-02-27
         ",../info/1038/12592.htm
综合科,关于2022-2023学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,"
2023-02-21
         ",../info/1035/12568.htm
教学运行,关于2023届预计毕业生校对电子注册学历照片的通知,"
2023-02-21
         ",../info/1036/12567.htm
实践科,关于组织参加第十四届全国周培源大学生力学竞赛的通知,"
2023-02-21
         ",../info/1039/12566.htm
实践科,关于2023届本科毕业生创新创业实践与素质拓展学分认定工作的通知,"
2023-02-20
         ",../info/1039/12565.htm
教学运行,关于2022-2023第二学期辅修专业补退选、缴费的通知,"
2023-02-20
         ",../info/1036/12564.htm
实践科,关于对2022年学院教学有关数据进行统计的通知,"
2023-02-19
         ",../info/1039/12563.htm
质量办,关于开学第一周集中听课的通知,"
2023-02-19
         ",../info/1040/12562.htm
教学运行,关于2022-2023第二学期学期选课补退选的通知,"
2023-02-19
         ",../info/1036/12561.htm
计划科,关于报名参加2022-2023学年第二学期国情教育网络培训的通知,"
2023-02-18
         ",../info/1038/12555.htm
计划科,关于2022-2023学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,"
2023-02-17
         ",../info/1038/12553.htm
计划科,关于2022-2023学年第二学期通识教育选修课选课的通知,"
2023-02-17
         ",../info/1038/12552.htm
实践科,关于常态化本科生实习教学工作的通知,"
2023-02-14
         ",../info/1039/12551.htm
教学运行,2023年春季学期开学教学工作安排,"
2023-02-03
         ",../info/1036/12542.htm
教学运行,关于2023年春季学期《大学物理实验》绪论课程教室安排的通知,"
2023-01-11
         ",../info/1036/12532.htm
综合科,教务处关于2023年寒假用印安排的通知,"
2023-01-09
         ",../info/1035/12531.htm
计划科,关于核对2022-2023学年第二学期通识教育选修课开课信息的有关通知,"
2023-01-04
         ",../info/1038/12522.htm
教学运行,关于2022-2023学年第二学期辅修专业选课的通知,"
2023-01-04
         ",../info/1036/12521.htm
教学运行,关于2022-2023学年第一学期《高等数学A（上）、B（上）、C（上）、D》课程期末线上考试安排的通知,"
2023-01-02
         ",../info/1036/12511.htm
教学运行,关于2022-2023学年第一学期《概率论与数理统计》课程期末线上考试安排的通知,"
2022-12-29
         ",../info/1036/12501.htm
实践科,关于举办第十三届全国大学生电子商务“三创赛”福州大学校赛的通知,"
2022-12-27
         ",../info/1039/12496.htm
实践科,关于做好2023届本科生毕业设计（论文）工作的通知,"
2022-12-27
         ",../info/1039/12495.htm
教学运行,关于2022-2023学年第一学期《线性代数》、《线性代数与解析几何》课程期末线上考试安排的通知,"
2022-12-26
         ",../info/1036/12492.htm
教学运行,关于元旦期间教学安排的通知,"
2022-12-26
         ",../info/1036/12491.htm
教材中心,关于开展2023年本科教材审核工作的通知,"
2022-12-26
         ",../info/1042/13541.htm
实践科,关于组织参加2023年美国大学生数学建模竞赛的通知,"
2022-12-19
         ",../info/1039/12481.htm
教学运行,关于2022-2023学年第二学期本科生学期选课的通知,"
2022-12-16
         ",../info/1036/12476.htm
综合科,关于召开2022-2023学年秋季学期期末本科教育教学工作会议的通知,"
2022-12-15
         ",../info/1035/12475.htm
综合科,关于评选2022年优秀教学管理人员的通知,"
2022-12-15
         ",../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=12474
教学运行,2022年秋季学期期末教学工作安排,"
2022-12-14
         ",../info/1036/12472.htm
教学运行,关于2022-2023学年第一学期《工程制图A（上）、C（上）、D、F》课程期末考试安排的通知,"
2022-12-09
         ",../info/1036/12463.htm
实践科,关于做好2022年省级（含）以上大学生创新创业训练计划项目和第二十八期本科生科研训练计划项目中期检查工作的通知,"
2022-12-08
         ",../info/1039/12462.htm
教学运行,关于2022级期末相关教学安排的通知,"
2022-12-08
         ",../info/1036/12461.htm
教学运行,关于2022-2023学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,"
2022-12-06
         ",../info/1036/12454.htm
教学运行,关于2022-2023学年第一学期《马克思主义基本原理》课程期末考试安排的通知,"
2022-12-06
         ",../info/1036/12453.htm
实践科,关于公布第六届网络信息安全竞赛获奖名单的通知,"
2022-12-05
         ",../info/1039/12452.htm
教学运行,关于部分教室改造的调课通知,"
2022-12-02
         ",../info/1036/12441.htm
实践科,关于本学期期末课程教学和实习安排的通知,"
2022-12-02
         ",../info/1039/12435.htm
实践科,关于举办福州大学第九届桥梁设计大赛的通知,"
2022-11-30
         ",../info/1039/12432.htm
计划科,关于2022-2023学年第二学期修读辅修专业学生名单的公示,"
2022-11-28
         ",../info/1038/12421.htm
教研教改,福州大学关于收集线上课程资源需求的通知,"
2022-11-24
         ",../info/1037/12416.htm
教学运行,关于2022-2023学年第一学期《高等数学A（下）》课程期末考试安排的通知,"
2022-11-24
         ",../info/1036/12415.htm
教学运行,关于2022-2023学年第一学期计算机语言类课程期末考试安排的通知,"
2022-11-24
         ",../info/1036/12414.htm
教学运行,关于2022-2023学年第一学期《中国近现代史纲要》课程期末考试安排的通知,"
2022-11-23
         ",../info/1036/12412.htm
教学运行,关于加强我校本科生转专业面试、笔试监督工作的通知,"
2022-11-23
         ",../info/1036/12402.htm
教材中心,关于做好2022-2023学年第二学期教材选用及征订工作的通知,"
2022-11-22
         ",../info/1042/12401.htm
教学运行,关于2022-2023学年第一学期《工程制图E》、《画法几何》课程期末考试安排的通知,"
2022-11-19
         ",../info/1036/12397.htm
实践科,关于公布第十六届本科生数学建模竞赛获奖名单的通知,"
2022-11-18
         ",../info/1039/12396.htm
教学运行,关于2022-2023学年第一学期《概率论与数理统计》课程半期考试安排的通知,"
2022-11-16
         ",../info/1036/12393.htm
教学运行,关于2022-2023学年第一学期《高等数学A（上）、B（上）、C（上）、D》课程半期考试安排的通知,"
2022-11-16
         ",../info/1036/12392.htm
教学运行,关于做好2023届预计毕业生电子注册图像采集工作的通知,"
2022-11-15
         ",../info/1036/12391.htm
实践科,关于公布第十四届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,"
2022-11-11
         ",../info/1039/12381.htm
计划科,关于组织申报2022-2023学年第二学期通识教育选修课的通知,"
2022-11-08
         ",../info/1038/12371.htm
教学运行,关于公布2022-2023学年各学院转专业实施细则的通知,"
2022-11-07
         ",../info/1036/12362.htm
教研教改,关于举办虚拟教研室建设之课程知识图谱构建专家辅导会暨福州大学第三十八场“教学有道”研讨活动的通知,"
2022-11-03
         ",../info/1037/12355.htm
综合科,关于2022-2023学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,"
2022-11-03
         ",../info/1035/12354.htm
计划科,关于2022-2023学年第一学期在校学生申请辅修专业的通知,"
2022-11-01
         ",../info/1038/12351.htm
质量办,关于2022年新上岗教师教学达标培训班教师配备导师的通知,"
2022-10-26
         ",../info/1040/12341.htm
教学运行,关于做好2022学年本科生转专业工作的通知,"
2022-10-20
         ",../info/1036/12325.htm
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第八周）,"
2022-10-12
         ",../info/1038/12309.htm
实践科,关于举办第十四届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,"
2022-10-10
         ",../info/1039/12302.htm
教学运行,关于组织2022级新生开展学籍信息自查工作的通知,"
2022-10-10
         ",../info/1036/12301.htm
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第七周）,"
2022-10-06
         ",../info/1038/12296.htm
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,"
2022-10-05
         ",../info/1039/12287.htm
实践科,关于公布第二十六、二十七期本科生科研训练计划项目结题成绩的通知,"
2022-10-05
         ",../info/1039/12286.htm
质量办,关于举办福州大学第三十七场“教学有道”研讨活动暨2022年教师教学创新大赛培训会的通知,"
2022-10-04
         ",../info/1040/12283.htm
质量办,福州大学关于2022年各类课程教学资料专项检查具体安排的通知,"
2022-10-04
         ",../info/1040/12281.htm
教研教改,关于转发福建省新工科教育联盟《关于开展新工科教育专家库建设、优秀教学案例征集、实践平台共建共享工作的通知》的通知,"
2022-09-29
         ",../info/1037/12263.htm
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第六周）,"
2022-09-29
         ",../info/1038/12262.htm
教研教改,转发福建省高校课程思政教育联盟《关于开展课程思政专家库建设及优秀教学案例征集工作的通知》的通知,"
2022-09-28
         ",../info/1037/12261.htm
实践科,关于2022年高校教学基本状态数据库教学相关数据报送的通知,"
2022-09-23
         ",../info/1039/12246.htm
实践科,关于报送课程教学资料、本科生毕业设计（论文）、实习、实验与课程设计质量专项检查自查材料的通知,"
2022-09-23
         ",../info/1039/12245.htm
教学运行,关于2022年国庆节放假课程调整的通知,"
2022-09-23
         ",../info/1036/12244.htm
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第五周）,"
2022-09-21
         ",../info/1038/12243.htm
质量办,关于组织报名参加全国高校教师教学创新大赛备赛实战与案例解析专题培训会的通知,"
2022-09-21
         ",../info/1040/12242.htm
教学运行,关于做好2022-2023学年第二学期排课准备工作的通知,"
2022-09-21
         ",../info/1036/12241.htm
综合科,关于召开2022-2023学年秋季学期期初本科教学工作会议的通知,"
2022-09-20
         ",../info/1035/12238.htm
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》线下见面课的友情提示,"
2022-09-16
         ",../info/1038/12223.htm
教学运行,关于做好2022年参军退役复学学生转专业工作的通知,"
2022-09-15
         ",../info/1036/12222.htm
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第四周）,"
2022-09-15
         ",../info/1038/12221.htm
计划科,关于在爱课程平台参加通识选修课学习的重要提示,"
2022-09-14
         ",../info/1038/12213.htm
教材中心,关于召开教材建设研讨会的通知,"
2022-09-13
         ",../info/1042/12212.htm
教学运行,关于2022-2023学年第一学期重新学习选课的通知,"
2022-09-13
         ",../info/1036/12211.htm
教学运行,关于2021级体育理论教室安排表的通知,"
2022-09-08
         ",../info/1036/12201.htm
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第三周）,"
2022-09-07
         ",../info/1038/12200.htm
教学运行,关于2022年中秋节放假课程调整的通知,"
2022-09-06
         ",../info/1036/12193.htm
计划科,关于公布2022-2023学年第一学期通选课取消开课名单的通知,"
2022-09-05
         ",../info/1038/12191.htm
实践科,关于做好本科毕业论文（设计）抽检信息平台和专家库建设工作通知,"
2022-09-05
         ",../info/1039/12181.htm
计划科,关于报名参加2022-2023学年第一学期国情教育网络培训的通知,"
2022-09-02
         ",../info/1038/12174.htm
教学运行,关于2022级体育理论教室安排表的通知,"
2022-09-02
         ",../info/1036/12172.htm
实践科,关于试点使用“全国大学生实习公共服务平台”的通知,"
2022-09-02
         ",../info/1039/12169.htm
